	169521141	XC214126	184669401	216054191	232059081	228508191	63228591	64344761	174672131	107151221	174726841	181032631	107557071	106603621	63746571	179473831	217210291	171613351	XC201047	181041271	61710891	107236321	217909241	181032701
169521141	1	0.12	0.23	0.145	0.1	0.284	0.463	0.24	0.13	0.103	0.159	0.081	0.156	0.307	0.088	0.137	0.222	0.104	0.193	0.156	0.281	0.127	0.185	0.198
XC214126	0.12	1	0.383	0.214	0.38	0.155	0.123	0.359	0.234	0.209	0.195	0.326	0.238	0.126	0.202	0.073	0.058	0.094	0.249	0.199	0.102	0.198	0.186	0.211
184669401	0.23	0.383	1	0.136	0.281	0.18	0.142	0.375	0.171	0.181	0.126	0.332	0.133	0.191	0.333	0.051	0.079	0.166	0.156	0.188	0.107	0.096	0.126	0.232
216054191	0.145	0.214	0.136	1	0.275	0.224	0.19	0.169	0.205	0.161	0.282	0.051	0.359	0.146	0.103	0.23	0.103	0.19	0.319	0.219	0.339	0.172	0.474	0.279
232059081	0.1	0.38	0.281	0.275	1	0.104	0.114	0.333	0.178	0.243	0.069	0.297	0.12	0.102	0.192	0.136	0.049	0.093	0.387	0.247	0.039	0.101	0.159	0.414
228508191	0.284	0.155	0.18	0.224	0.104	1	0.464	0.294	0.173	0.164	0.556	0.127	0.203	0.5	0.128	0.067	0.153	0.391	0.109	0.182	0.146	0.153	0.169	0.122
63228591	0.463	0.123	0.142	0.19	0.114	0.464	1	0.095	0.101	0.072	0.264	0.093	0.202	0.453	0.068	0.137	0.136	0.204	0.118	0.106	0.254	0.085	0.154	0.129
64344761	0.24	0.359	0.375	0.169	0.333	0.294	0.095	1	0.302	0.269	0.198	0.267	0.171	0.137	0.259	0.095	0.156	0.084	0.196	0.157	0.113	0.278	0.113	0.243
174672131	0.13	0.234	0.171	0.205	0.178	0.173	0.101	0.302	1	0.317	0.07	0.21	0.172	0.221	0.221	0.256	0.387	0.13	0.126	0.219	0.08	0.55	0.146	0.312
107151221	0.103	0.209	0.181	0.161	0.243	0.164	0.072	0.269	0.317	1	0.248	0.317	0.169	0.25	0.296	0.246	0.036	0.123	0.214	0.292	0.096	0.25	0.153	0.438
174726841	0.159	0.195	0.126	0.282	0.069	0.556	0.264	0.198	0.07	0.248	1	0.065	0.182	0.292	0.133	0.076	0.108	0.382	0.147	0.196	0.092	0.205	0.156	0.174
181032631	0.081	0.326	0.332	0.051	0.297	0.127	0.093	0.267	0.21	0.317	0.065	1	0.137	0.089	0.413	0.087	0.393	0.067	0.244	0.284	0.066	0.237	0.142	0.202
107557071	0.156	0.238	0.133	0.359	0.12	0.203	0.202	0.171	0.172	0.169	0.182	0.137	1	0.124	0.114	0.116	0.241	0.171	0.126	0.243	0.46	0.113	0.262	0.101
106603621	0.307	0.126	0.191	0.146	0.102	0.5	0.453	0.137	0.221	0.25	0.292	0.089	0.124	1	0.109	0.105	0.095	0.256	0.102	0.116	0.149	0.363	0.138	0.137
63746571	0.088	0.202	0.333	0.103	0.192	0.128	0.068	0.259	0.221	0.296	0.133	0.413	0.114	0.109	1	0.063	0.167	0.108	0.09	0.287	0.088	0.141	0.138	0.172
179473831	0.137	0.073	0.051	0.23	0.136	0.067	0.137	0.095	0.256	0.246	0.076	0.087	0.116	0.105	0.063	1	0.169	0.206	0.128	0.158	0.076	0.209	0.038	0.237
217210291	0.222	0.058	0.079	0.103	0.049	0.153	0.136	0.156	0.387	0.036	0.108	0.393	0.241	0.095	0.167	0.169	1	0.072	0.021	0.216	0.039	0.379	0.127	0.149
171613351	0.104	0.094	0.166	0.19	0.093	0.391	0.204	0.084	0.13	0.123	0.382	0.067	0.171	0.256	0.108	0.206	0.072	1	0.104	0.111	0.128	0.099	0.152	0.167
XC201047	0.193	0.249	0.156	0.319	0.387	0.109	0.118	0.196	0.126	0.214	0.147	0.244	0.126	0.102	0.09	0.128	0.021	0.104	1	0.212	0.061	0.094	0.333	0.389
181041271	0.156	0.199	0.188	0.219	0.247	0.182	0.106	0.157	0.219	0.292	0.196	0.284	0.243	0.116	0.287	0.158	0.216	0.111	0.212	1	0.104	0.199	0.191	0.246
61710891	0.281	0.102	0.107	0.339	0.039	0.146	0.254	0.113	0.08	0.096	0.092	0.066	0.46	0.149	0.088	0.076	0.039	0.128	0.061	0.104	1	0.044	0.222	0.097
107236321	0.127	0.198	0.096	0.172	0.101	0.153	0.085	0.278	0.55	0.25	0.205	0.237	0.113	0.363	0.141	0.209	0.379	0.099	0.094	0.199	0.044	1	0.08	0.282
217909241	0.185	0.186	0.126	0.474	0.159	0.169	0.154	0.113	0.146	0.153	0.156	0.142	0.262	0.138	0.138	0.038	0.127	0.152	0.333	0.191	0.222	0.08	1	0.17
181032701	0.198	0.211	0.232	0.279	0.414	0.122	0.129	0.243	0.312	0.438	0.174	0.202	0.101	0.137	0.172	0.237	0.149	0.167	0.389	0.246	0.097	0.282	0.17	1
